Order,Accession,Country,Longitude,Latitude,Altitude,Phosphorus
1,PI 152651,SDN,-76.90747,-88.30349879,2058,43
2,PI 17548,AUS,-76.90747,-88.30349879,1514,59
3,PI 24969,CHN,-34.466666,-57.833333,2104,75
4,PI 276837,ETH,-33.883055,151.216666,2919,67
5,PI 329435,ETH,-30.559482,22.937506,2119,60
6,PI 329440,ETH,-30.559482,22.937506,1905,32
7,PI 34911,USA,-30.559482,22.937506,2181,78
8,PI 35038,USA,-30.409999,27.719999,2901,4
9,PI 48770,ZAF,-30.020242,27.549999,2148,10
10,PI 533750,,-30.018319,27.548851,1701,57
11,PI 533752,,-30.018319,27.548851,2289,36
12,PI 533754,,-30.018319,27.548851,2417,31
13,PI 533755,,-29.6,30.379999,1821,25
14,PI 533757,,-29.6,30.379999,2781,91
15,PI 533758,,-29.6,30.379999,2490,72
16,PI 533759,,-29.6,30.379999,1763,46
17,PI 533760,,-29.530006,28.149999,2206,74
18,PI 533761,,-29.530006,28.149999,1566,20
19,PI 533762,,-29.530006,28.149999,2965,22
20,PI 533766,,-29.530006,28.149999,2289,37
21,PI 533769,,-29.530006,28.149999,1761,0
22,PI 533776,,-29.530006,28.149999,2324,29
23,PI 533785,USA,-29.5,28,1570,28
24,PI 533788,,-29.5,28,1823,75
25,PI 533789,,-29.5,28,2821,68
26,PI 533792,,-29.5,28,2195,11
27,PI 533794,,-29.5,28,1636,78
28,PI 533799,,-29.5,28,2562,26
29,PI 533800,,-29.319999,27.479999,2181,59
30,PI 533807,,-29.319999,27.479999,1559,35
31,PI 533810,IND,-29.149999,31.059999,2043,15
32,PI 533814,IND,-23.833333,31.5,2319,97
33,PI 533821,TZA,-23.833333,31.5,1629,42
34,PI 533822,TZA,-20.91666667,29,1902,16
35,PI 533824,NGA,-20.91666667,29,2940,44
36,PI 533830,SDN,-20.85,30.2,2344,70
37,PI 533831,SDN,-20.85,30.2,2655,73
38,PI 533833,UGA,-20.85,30.2,1788,56
39,PI 533838,NGA,-20.85,32.26666667,1831,28
40,PI 533839,NGA,-20.840001,27.219999,1656,23
41,PI 533841,NGA,-20.840001,27.219999,2895,89
42,PI 533842,IND,-20.840001,27.219999,1870,82
43,PI 533843,IND,-20.840001,27.219999,2441,73
44,PI 533845,NPL,-20.840001,27.219999,2735,17
45,PI 533852,IND,-19.55,32.56666667,2026,77
46,PI 533855,IND,-19.55,30.26666667,2092,51
47,PI 533856,IND,-19.549999,32.779998,1631,19
48,PI 533863,TCD,-19.53333333,31.36666667,1619,11
49,PI 533866,,-19.53333333,31.41666667,1941,91
50,PI 533869,TZA,-19.53333333,31.41666667,1521,53
51,PI 533871,NGA,-19.53333333,31.41666667,2464,81
52,PI 533876,NGA,-17.969999,31.329999,2980,85
53,PI 533877,NGA,-17.969999,31.329999,2957,96
54,PI 533878,NGA,-17.969999,31.329999,1629,37
55,PI 533882,NGA,-17.96666667,31.33333333,2917,2
56,PI 533901,JPN,-17.96666667,31.33333333,2226,25
57,PI 533902,ETH,-17.96666667,31.33333333,2217,82
58,PI 533903,ETH,-17.96666667,31.33333333,2108,73
59,PI 533910,SDN,-17.96666667,31.33333333,2751,94
60,PI 533911,SDN,-17.96666667,31.33333333,2188,87
61,PI 533912,SDN,-17.96666667,31.33333333,2735,88
62,PI 533913,SDN,-17.950007,19.530001,1551,15
63,PI 533915,KEN,-17.950001,15.010001,2800,24
64,PI 533919,ETH,-17.930001,18.569999,1797,92
65,PI 533921,ETH,-17.930001,18.569999,1511,96
66,PI 533924,ETH,-17.930001,18.569999,1892,67
68,PI 533936,TZA,-17.930001,18.569999,1844,42
69,PI 533937,,-17.930001,18.569999,1771,41
70,PI 533938,COD,-17.920001,13.75,1933,4
71,PI 533939,ETH,-0.500002,34.800007,1696,23
72,PI 533940,TZA,-0.500002,34.800007,2324,76
73,PI 533943,IND,-0.5,34.380001,1929,10
74,PI 533948,USA,-0.5,37.283333,1557,42
75,PI 533949,SDN,-0.5,37.283333,2719,16
76,PI 533954,ZAF,-0.5,37.283333,1685,18
77,PI 533955,ZAF,8.7933,11.2727,2149,0
78,PI 533956,COG,8.7934,11.2727,1568,41
79,PI 533957,,8.7934,11.2728,2769,5
80,PI 533961,ZAF,8.797027,1.064391,2652,6
81,PI 533962,SDN,8.8,38.439998,2522,66
82,PI 533964,SDN,8.8,38.439998,2584,36
83,PI 533965,UGA,10.37533,11.3814567,1686,62
84,PI 533967,UGA,10.37533,11.3814567,1956,99
85,PI 533970,UGA,10.37533,11.3814567,2329,53
86,PI 533972,UGA,10.375345,11.381425,2205,4
87,PI 533976,ZAF,10.38,8.579999,1885,49
88,PI 533979,ZAF,10.380001,12.800001,2141,32
89,PI 533980,CHN,10.380001,12.800001,1563,8
90,PI 533985,,10.380001,12.800001,2023,70
91,PI 533986,,10.380001,12.800001,1986,1
92,PI 533987,,10.380001,12.800001,2555,57
93,PI 533989,,10.380001,12.800001,2520,25
94,PI 533991,,12.03333,31.15,1976,91
95,PI 533996,,12.03333,31.15,1569,48
96,PI 533997,,12.03333,31.15,2281,87
