Family_ID,Donor_accession,Longtitude,Latitude,Altitude,Phosphorus
A.1,A.1.1,2620,1346,2039,34
A.2,A.1.1,2640,925,2964,29
A.3,A.1.1,2314,718,1330,6
A.4,A.1.1,1322,1765,1117,64
A.5,A.1.1,2392,2048,722,1
A.6,A.1.1,2831,3064,1827,5
A.7,A.1.1,2578,2727,2553,0
A.8,A.1.1,1503,1235,2921,79
A.9,A.1.1,820,3447,2730,27
A.10,A.1.1,2905,2375,454,56
A.11,A.1.1,572,1685,1153,6
A.12,A.1.1,1331,2742,1006,77
A.13,A.1.1,2619,3539,2009,87
A.14,A.1.1,2998,2944,1050,7
A.15,A.1.1,1145,2886,884,92
A.16,A.1.1,1867,2336,1934,54
A.17,A.1.1,1220,3774,2815,16
A.18,A.1.1,2856,3763,2904,83
A.19,A.1.1,1517,2932,2977,93
A.20,A.1.2,1526,219,1389,29
A.21,A.1.2,2401,2658,1161,30
A.22,A.1.2,2943,2442,1761,53
A.23,A.1.2,2791,2444,1587,65
A.24,A.1.2,1251,2820,1413,91
A.25,A.1.2,1437,3414,587,19
B.1,A.1.2,1341,3778,2058,52
B.2,A.1.2,2483,1308,1987,97
B.3,A.1.2,774,3666,977,24
B.4,A.1.2,2963,3719,2526,100
B.5,A.1.2,1308,802,1234,41
B.6,A.1.2,1604,3374,1087,2
B.7,A.1.2,686,2200,665,44
B.8,A.1.2,561,2784,2682,78
B.9,A.1.2,526,2758,693,34
B.10,A.1.2,1261,112,391,2
B.11,A.1.2,1455,2528,2597,72
B.12,A.1.2,1932,65,2231,57
B.13,A.1.2,2357,802,1615,19
B.14,A.1.2,940,1317,288,90
B.15,A.1.3,1506,2157,335,46
B.16,A.1.3,1233,2256,2989,30
B.17,A.1.3,1029,2168,2007,57
B.18,A.1.3,954,3303,652,49
B.19,A.1.3,2359,1536,828,7
B.20,A.1.3,1750,2432,1399,21
B.21,A.1.3,2604,3848,1658,74
B.22,A.1.3,2081,156,2083,39
B.23,A.1.3,2444,2635,1503,75
B.24,A.1.3,1860,382,773,72
B.25,A.1.3,663,2858,2277,48
C.1,A.1.3,2914,3085,1676,60
C.2,A.1.3,723,2029,2067,22
C.3,A.1.3,1397,1961,1756,36
C.4,A.1.3,2330,3398,2719,97
C.5,A.1.3,1927,603,2251,89
C.6,A.1.3,2164,3883,1439,10
C.7,A.1.3,703,3111,1687,21
C.8,A.1.3,1360,624,1191,93
C.9,A.1.3,1053,3728,2157,29
C.10,A.1.4,553,833,1801,16
C.11,A.1.4,2314,888,2598,85
C.12,A.1.4,2475,1549,749,40
C.13,A.1.4,523,2190,463,34
C.14,A.1.4,1751,3796,962,51
C.15,A.1.4,2489,2560,984,67
C.16,A.1.4,1246,144,306,48
C.17,A.1.4,945,148,2454,96
C.18,A.1.4,583,2124,2681,11
C.19,A.1.4,1873,2614,2093,11
C.20,A.1.4,1807,3646,2928,88
C.21,A.1.4,1720,1605,1217,66
C.22,A.1.4,2609,2953,2132,9
C.23,A.1.4,2025,271,268,41
C.24,A.1.4,2025,572,2008,61
C.25,A.1.4,2162,3289,2232,63
