Line-ID,Population,Accession-ID,Species,Race,Latitude,Longitude,Altitude
LANDB001,LANDB,CIMMYTMA-010234,Zea mays spp mays,CACAHUACINTLE,19,-97.383,2600
LANDB002,LANDB,CIMMYTMA-005460,Zea mays spp mays,TUXPEN,18.35,-100.65,245
LANDB003,LANDB,CIMMYTMA-027432,Zea mays spp mays,,16.75,-92.63,2131
LANDB004,LANDB,CIMMYTMA-025027,Zea mays spp mays,ZAPCHI,16.479,-95.001,28
LANDB005,LANDB,CIMMYTMA-021008,Zea mays spp mays,HEMBRA,29.354,-107.755,2145
LANDB006,LANDB,CIMMYTMA-000645,Zea mays spp mays,CELAYA,29.567,-104.563,798
LANDB007,LANDB,CIMMYTMA-019483,Zea mays spp mays,CONNOR,22.903,-103.478,2019
LANDB008,LANDB,CIMMYTMA-023628,Zea mays spp mays,CONICO,21.933,-100,994
LANDB009,LANDB,CIMMYTMA-001535,Zea mays spp mays,CONNOR,20.7,-99.8,2039
LANDB010,LANDB,CIMMYTMA-007026,Zea mays spp mays,TUXPEN,21.2,-105.167,8
LANDB011,LANDB,CIMMYTMA-006081,Zea mays spp mays,CONICO,17.191,-97.867,2338
LANDB012,LANDB,CIMMYTMA-025041,Zea mays spp mays,OLOTIL,16.7,-93.717,547
LANDB013,LANDB,CIMMYTMA-005606,Zea mays spp mays,CACAHU,19.65,-102.267,2287
LANDB014,LANDB,CIMMYTMA-017852,Zea mays spp mays,TUXPEN,18.717,-99.367,952
LANDB015,LANDB,CIMMYTMA-021113,Zea mays spp mays,CELAYA,28.533,-106.633,2141
LANDB016,LANDB,CIMMYTMA-007344,Zea mays spp mays,ONAVEN,29.435,-110.367,390
LANDB017,LANDB,CIMMYTMA-013920,Zea mays spp mays,,17.45,-97.217,2083
LANDB018,LANDB,CIMMYTMA-017793,Zea mays spp mays,,17.083,-89.133,97
LANDB019,LANDB,CIMMYTMA-021313,Zea mays spp mays,CELAYA,21.017,-102.167,2055
LANDB020,LANDB,CIMMYTMA-007076,Zea mays spp mays,BOFO,21.717,-104.883,177
LANDB021,LANDB,CIMMYTMA-016642,Zea mays spp mays,CELAYA,21.883,-101.583,2213
LANDB022,LANDB,CIMMYTMA-023971,Zea mays spp mays,BOFO,22.274,-104.47,648
LANDB023,LANDB,CIMMYTMA-021154,Zea mays spp mays,CONNOR,28.55,-107.5,2046
LANDB024,LANDB,CIMMYTMA-000449,Zea mays spp mays,TUXPEN,28.27,-100.726,356
LANDB025,LANDB,CIMMYTMA-013771,Zea mays spp mays,,21.483,-101.217,2091
LANDB026,LANDB,CIMMYTMA-003266,Zea mays spp mays,TEPECI,21.1,-97.75,88
LANDB027,LANDB,CIMMYTMA-021332,Zea mays spp mays,CELAYA,20.817,-102.667,2017
LANDB028,LANDB,CIMMYTMA-025845,Zea mays spp mays,TUXPEN,21.517,-98.383,42
LANDB029,LANDB,CIMMYTMA-025151,Zea mays spp mays,,20.176,-100.139,2674
LANDB030,LANDB,CIMMYTMA-025289,Zea mays spp mays,,20.8,-104.4,800
LANDB031,LANDB,CIMMYTMA-005613,Zea mays spp mays,MUSHIT,19.499,-101.583,2280
LANDB032,LANDB,CIMMYTMA-003229,Zea mays spp mays,TUXPEN,20.32,-96.87,5
LANDB033,LANDB,CIMMYTMA-018374,Zea mays spp mays,,19.97,-99.52,2418
LANDB034,LANDB,CIMMYTMA-002345,Zea mays spp mays,TUXPEN,19.855,-96.708,372
LANDB035,LANDB,CIMMYTMA-007937,Zea mays spp mays,GORDO,29.65,-108.25,2141
LANDB036,LANDB,CIMMYTMA-007294,Zea mays spp mays,TABPER,28.975,-109.395,454
LANDB037,LANDB,CIMMYTMA-013374,Zea mays spp mays,CONNOR,24.47,-104.121,2030
LANDB038,LANDB,CIMMYTMA-000861,Zea mays spp mays,CHAPAL,24.824,-107.46,46
LANDB039,LANDB,CIMMYTMA-001398,Zea mays spp mays,CHALQUENO,19.683,-99.133,2256
LANDB041,LANDB,CIMMYTMA-000554,Zea mays spp mays,CELAYA,21.017,-101.25,2064
LANDB042,LANDB,CIMMYTMA-000547,Zea mays spp mays,TUXPEN,21.445,-99.632,562
